data_type,best_chart,second_choice,colors,accessibility,library,use_case,avoid
Time series / Price,Area Chart with gradient fill,Line Chart,Primary color fill with 20% opacity gradient; line solid primary,Add title + tooltip on hover; screen reader label,Recharts AreaChart or Chart.js,Trading price history account balance over time,Pie chart for time data — shows nothing useful
Comparison (2-5 items),Bar Chart vertical,Horizontal Bar,Each bar brand primary; hover slightly darker; label on bar,Use color + pattern for colorblind; include data labels,Recharts BarChart,Revenue by category budget allocation product comparison,Donut chart for >5 items — labels overlap
Distribution / Breakdown,Donut Chart,Pie Chart,Each segment distinct hue; center shows total/label,Avoid >6 segments; combine small as Other; legend beside,Recharts PieChart with innerRadius,Market share portfolio allocation session volume by sector,Exploded pie charts — childish and confusing
Multi-series comparison,Grouped Bar Chart,Stacked Bar,Series use blue/emerald/amber/violet family; consistent order,Legend with color+pattern; alt text description,Recharts BarChart with multiple dataKeys,Quarter comparison year-over-year product line revenue,3D bars — decorative not informative
Trend + Comparison,Line Chart multi-series,Combo Bar+Line,Each series distinct vivid color; 2px stroke width,4+ series becomes unreadable — use small multiples,Recharts LineChart with multiple lines,Multiple KPIs over time portfolio vs benchmark,More than 5 lines — unreadable spaghetti chart
Single KPI / Progress,Radial Progress / Gauge,Number + Trend Arrow,Green for positive amber for warning red for critical,Always show exact number next to visual; label required,Recharts RadialBarChart or custom SVG,Goal completion budget used capacity utilization,Gauge charts for multi-value data — only works for single metric
Geographic / Location,Choropleth Map,Dot Map,Sequential single hue — light=low dark=high; clear legend,Title + legend + tooltip required; colorblind-safe palette,react-simple-maps or Leaflet.js,Regional sales delivery zones market penetration by region,Rainbow gradient maps — misleading perceptually
Correlation,Scatter Plot,Bubble Chart,Dots in primary color; highlighted points in CTA color,Labeled axes with units; tooltip with exact values,Recharts ScatterChart,Price vs volume risk vs return feature correlation,Connecting scatter points with lines — implies sequence
Real-time / Live data,Sparkline mini chart,Animated number counter,Single vivid line on dark mini chart; no axes needed,Pause animation if prefers-reduced-motion; show last value,Recharts AreaChart tiny or Victory Sparkline,Price ticker order book depth dashboard KPI header,Full chart refresh every second — use incremental update
Funnel / Pipeline,Funnel Chart,Stacked Horizontal Bar,Gradient from CTA color to lighter shade down funnel,Label each stage with count and percentage,Custom SVG or funnel-graph-js,Sales pipeline conversion funnel onboarding steps,Vertical bar chart for funnel — loses funnel meaning visually
Heatmap / Matrix,Heatmap Grid,Treemap,Sequential blue-to-red or green-to-red; white=zero,Color scale legend required; hover tooltip with exact value,recharts-heat-map or D3,User activity calendar commit history trading volume by hour/day,Heatmap with >2 colors in scale — too complex to read
