category,rule,do_pattern,do_code,dont_pattern,dont_code,severity
Navigation,Active nav item must be clearly visible,Use border-bottom or background highlight on active link,"className={isActive ? 'border-b-2 border-blue-600 text-blue-600' : 'text-slate-600'}",Leave all nav items same style — user cant tell where they are,className='text-slate-600',HIGH
Navigation,Mobile nav must work without hover,Use hamburger menu with full-screen overlay on mobile,<Sheet><SheetTrigger><Menu /></SheetTrigger><SheetContent>...</SheetContent></Sheet>,Horizontal scrolling nav on mobile destroys usability,<nav className='flex overflow-x-auto'>,HIGH
Navigation,Sticky nav must not cover content,Add padding-top equal to nav height,"<main className='pt-[60px]'>",Content hidden behind fixed navbar makes page unusable,<main className='pt-0'>,HIGH
Forms,Labels must always be visible — never only placeholders,Use label element above every input,<label>Email</label><input placeholder='you@example.com'/>,Placeholder-only fields lose label when user types,<input placeholder='Email'/>,HIGH
Forms,Validation errors must show inline next to the field,Show error message directly below the relevant input,"<input/><p className='text-red-500 text-sm mt-1'>Email is required</p>",Show all errors only in a top banner — user must hunt for mistake,<div className='alert'>Please fix errors</div>,HIGH
Forms,CTA button must reflect loading state,Disable button and show spinner during submission,"<button disabled={isLoading}>{isLoading ? <Spinner/> : 'Submit'}</button>",Button stays active during submission — double-submit bug,<button onClick={submit}>Submit</button>,HIGH
Accessibility,All interactive elements need cursor:pointer,Add cursor-pointer to every clickable div/span/button,"className='cursor-pointer hover:bg-slate-100'",Clickable elements without pointer cursor confuse users,className='',HIGH
Accessibility,Color alone must not convey meaning,Combine color with icon or text label for status,<Badge className='bg-green-100 text-green-800'><CheckIcon/>Aktiv</Badge>,Green=good Red=bad with no other indicator — fails colorblind users,<div className='bg-green-500'/>,HIGH
Accessibility,Focus states must be visible,Never remove outline — override with custom visible focus style,"className='focus:ring-2 focus:ring-blue-500 focus:outline-none'",Removing outline without replacement breaks keyboard nav,"outline: none",HIGH
Accessibility,Minimum touch target 44x44px on mobile,Use min-h-11 min-w-11 on all mobile buttons,<button className='min-h-11 px-4'>,Tiny 24px buttons impossible to tap on mobile,<button className='h-6 w-6'>,HIGH
Animation,Respect prefers-reduced-motion,Wrap animations in media query,@media (prefers-reduced-motion: reduce) { * { animation: none !important; } },Animate everything regardless of user accessibility settings,<div className='animate-bounce'>,MEDIUM
Animation,Animation duration must feel natural,Use 150-300ms for micro-interactions 400-600ms for page transitions,"transition: all 200ms ease",Instant state changes feel broken; >1s feels sluggish,transition: all 1500ms,MEDIUM
Animation,Hover effects must not shift layout,Use transform/opacity only — never margin/padding for hover states,"hover:shadow-lg hover:-translate-y-1",Hover that increases padding or changes element size shifts layout,"hover:p-8",HIGH
Typography,Minimum body font size 16px,Set base font size 16px on body element,body { font-size: 16px; },12-14px body text fails readability standards on any screen,body { font-size: 13px; },HIGH
Typography,Line height must aid readability,Use 1.5-1.7 line height for body text,<p className='leading-relaxed'>,Single or 1.1 line height makes body text unreadable,<p className='leading-none'>,MEDIUM
Typography,Heading hierarchy must be semantic,Use h1 h2 h3 in correct order — one h1 per page,<h1>Page Title</h1><h2>Section</h2><h3>Subsection</h3>,Multiple h1 tags or skipping heading levels breaks screen readers,<h1/><h1/><h4/>,MEDIUM
Contrast,Text contrast ratio minimum 4.5:1,Check all text/background combinations in Figma or browser devtools,Dark text #1E293B on #F8FAFC bg = 13:1 ratio — excellent,Light gray on white fails minimum standards,text-gray-300 on white = 2:1 ratio,HIGH
Contrast,Never use pure white text on gradient,Add text-shadow or semi-dark overlay behind gradient text,"<div style='background:rgba(0,0,0,0.4)'><h1 className='text-white'>",Pure white on colorful gradient often fails contrast test,<h1 className='text-white' style='background: gradient'>,HIGH
Loading,Always show loading state for async operations,Use skeleton screens for initial load; spinner for actions,"<Skeleton className='h-4 w-full'/> or <Loader2 className='animate-spin'/>",Empty page during load makes users think app is broken,return null,HIGH
Loading,Skeleton screens better than spinners for layout,Use skeleton matching exact shape of content to load,<div className='animate-pulse bg-slate-200 rounded h-4 w-3/4'/>,Single spinner for entire page load gives no layout preview,<div className='spinner'>,MEDIUM
Mobile,Content must not cause horizontal scroll,Never use fixed pixel widths wider than viewport,<div className='max-w-full overflow-x-hidden'>,Fixed 1000px tables on mobile break entire page layout,<table style='width:1000px'>,HIGH
Mobile,Modals must be full-screen on mobile,Use bottom sheet pattern on mobile for modals,<div className='fixed inset-0 sm:inset-auto sm:rounded-xl'>,Desktop modal centered on mobile — too small with tiny buttons,<div className='w-[500px] mx-auto'>,HIGH
