product_type,recommended_style,color_mood,typography_mood,key_effects,anti_patterns,severity
SaaS (General),Glassmorphism cards + Hero + Features + CTA,Trust blue + Orange CTA,Clean geometric sans,Card hover lift shadow-lg + CTA pulse + smooth scroll,Cluttered hero too many CTAs above fold,HIGH
SaaS (Enterprise),Bento Grid + Data tables + KPI cards,Dark navy + Green success,Professional IBM Plex or Inter,Subtle grid animations + status badges + real-time updates,Flashy animations break enterprise trust,HIGH
Fintech / Trading,Dark mode + Live data + Order book,Deep blue/navy + Green up/Red down,IBM Plex Sans — financial authoritative,Real-time price animations + order book flash + sparklines,Light backgrounds reduce trust in trading context,HIGH
Commodity Exchange,Professional dashboard + Bento grid,Corporate blue + Orange accent,IBM Plex Sans corporate serious,Session countdown pulse + price change flash green/red,Informal fonts destroy credibility instantly,HIGH
Banking / Finance,Trust-first layout + Minimal animations,Deep blue + Gold/Amber accent,Conservative serif or IBM Plex,Smooth form transitions + progress indicators + trust badges,Red for primary (triggers financial loss anxiety),HIGH
Legal / Law,Conservative formal layout + White space,Dark navy/charcoal + Gold accent,Formal serif headings + clean body,Subtle page transitions + document preview hover,Bright playful colors undermine legal authority,HIGH
Healthcare App,Clean card grid + Progress indicators,Teal/cyan + Green positive,Friendly sans-serif Poppins,Smooth loading states + accessible animations + progress bars,Red primary triggers emergency anxiety in users,HIGH
E-commerce (Fashion),Full-bleed images + Minimal overlay text,Dark with high-contrast CTA,Luxury serif + clean body,Parallax product images + hover zoom + cart animation,Text over busy images breaks readability,HIGH
E-commerce (General),Product grid + Filter sidebar + Quick view,Brand purple + Orange CTA,Modern sans-serif,Hover product zoom + quick-add animation + badge pulse,No visual feedback on cart add destroys UX,HIGH
Restaurant / Food,Full-screen hero food photo + Menu sections,Warm red/orange + cream/white,Warm serif headings,Food photo parallax + menu hover highlight,Stock food photos over real food kills authenticity,HIGH
Real Estate,Full-width property images + Map integration,Corporate blue + Orange CTA,Bold sans heading + readable body,Map pin animations + image gallery smooth + form progress,Poor mobile photo display loses 70% of leads,HIGH
Developer Tools,Dark terminal aesthetic + Code previews,Dark bg + cyan/green accent,Monospace heading + sans body,Syntax highlighting transitions + copy-to-clipboard feedback,Light mode as default breaks developer trust,MEDIUM
Government / Public,Clean accessible layout + Official structure,Deep blue + Official red + White,Clear readable sans-serif,Minimal — focus on clarity not decoration,Flashy animations signal frivolity not reliability,HIGH
Analytics / BI,Data-dense grid + Chart-first layout,Dark neutral + Blue data + Alert colors,Technical sans-serif IBM Plex,Chart load animations + tooltip hover + drill-down expand,Decorative charts over functional destroys data trust,HIGH
Education / LMS,Progress-focused layout + Course grid,Brand purple + Success green,Friendly accessible Outfit or Poppins,Progress bar animations + completion badges + streak effects,Wall-of-text without visual breaks kills engagement,HIGH
Cybersecurity,Dark terminal + Alert system + Status grid,Very dark bg + Green success + Red alert,Monospace + technical sans,Alert pulse animations + status indicator blink + scan effect,Any light/pastel palette kills security credibility,HIGH
Fitness / Health,Energy-driven + Progress tracking,Red/orange energy + Green health,Bold dynamic Bebas/Barlow,Progress ring animations + achievement unlock + timer pulse,Passive design with no energy signals low quality,MEDIUM
Luxury / Premium,Minimal white space + Editorial layout,Monochromatic + Gold accent,Refined serif + light-weight body,Reveal animations slow + hover elegance + no bounce effects,Busy colorful design destroys premium perception,HIGH
Travel / Tourism,Destination photos + Discovery layout,Deep sky blue + Warm orange,Adventure sans Josefin + readable body,Parallax destination images + map pin hover + price reveal,Generic stock travel photos kill authenticity,HIGH
Startup Landing,Conversion-optimized + Social proof heavy,Brand + high-contrast CTA,Modern Space Grotesk or Plus Jakarta,Scroll reveal sections + metric counters + video autoplay muted,No social proof above fold loses 40% conversions,HIGH
