name,category,heading_font,body_font,mood,best_for,google_fonts_url
Classic Elegant,Serif + Sans,Playfair Display,Inter,luxury elegant refined,luxury fashion spa editorial,https://fonts.google.com/share?selection.family=Playfair+Display|Inter
Tech Startup,Sans + Sans,Space Grotesk,DM Sans,modern innovative clean,tech companies startups SaaS,https://fonts.google.com/share?selection.family=Space+Grotesk|DM+Sans
Developer Mono,Mono + Sans,JetBrains Mono,IBM Plex Sans,technical precise focused,developer tools code editors APIs,https://fonts.google.com/share?selection.family=JetBrains+Mono|IBM+Plex+Sans
Financial Trust,Sans + Sans,IBM Plex Sans,IBM Plex Sans,financial trustworthy professional corporate banking,fintech banking trading commodity exchange,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@300;400;500;600;700
Government Official,Sans + Sans,Source Sans 3,Source Sans 3,authoritative official neutral,government public sector NGO institutional,https://fonts.google.com/share?selection.family=Source+Sans+3:wght@300;400;600;700
Bold Editorial,Display + Sans,Fraunces,Nunito Sans,editorial bold expressive storytelling,media news publishing editorial,https://fonts.google.com/share?selection.family=Fraunces:wght@400;700;900|Nunito+Sans
Clean Corporate,Sans + Sans,Inter,Inter,clean neutral professional universal,enterprise SaaS dashboards analytics,https://fonts.google.com/share?selection.family=Inter:wght@300;400;500;600;700
Warm Friendly,Rounded + Sans,Nunito,Nunito,warm approachable friendly fun,health apps fitness education kids,https://fonts.google.com/share?selection.family=Nunito:wght@300;400;600;700
Legal Formal,Serif + Serif,EB Garamond,Source Serif 4,formal authoritative traditional,law firms legal compliance contracts,https://fonts.google.com/share?selection.family=EB+Garamond|Source+Serif+4
Dark Tech,Mono + Mono,Fira Code,JetBrains Mono,hacker technical cyberpunk,cybersecurity developer tools dark mode,https://fonts.google.com/share?selection.family=Fira+Code|JetBrains+Mono
Luxury Minimal,Sans + Sans,Cormorant Garamond,Raleway,minimal luxury sophisticated,high-end fashion beauty premium brands,https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@300;400;600|Raleway:wght@300;400;500
Dynamic Sport,Display + Sans,Bebas Neue,Barlow,bold energetic sporty dynamic,fitness sports automotive energy drinks,https://fonts.google.com/share?selection.family=Bebas+Neue|Barlow:wght@400;500;600;700
Healthcare Clean,Sans + Sans,Poppins,Open Sans,clean friendly medical trustworthy,healthcare clinics pharmacy wellness,https://fonts.google.com/share?selection.family=Poppins:wght@300;400;500;600|Open+Sans
Restaurant Warm,Serif + Sans,Lora,Lato,warm inviting food artisan,restaurants cafes food delivery culinary,https://fonts.google.com/share?selection.family=Lora:wght@400;500;600;700|Lato
Real Estate Bold,Sans + Serif,Montserrat,Merriweather,bold aspirational professional property,real estate architecture construction,https://fonts.google.com/share?selection.family=Montserrat:wght@400;600;700;800|Merriweather
E-commerce Modern,Sans + Sans,Plus Jakarta Sans,DM Sans,modern commerce product-focused,e-commerce marketplace retail,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@400;500;600;700|DM+Sans
Travel Adventure,Display + Sans,Josefin Sans,Work Sans,adventure wanderlust modern travel,travel tourism booking adventure,https://fonts.google.com/share?selection.family=Josefin+Sans:wght@300;400;600;700|Work+Sans
Education Focus,Sans + Sans,Outfit,Nunito,clear focused academic structured,education LMS courses training,https://fonts.google.com/share?selection.family=Outfit:wght@300;400;500;600;700|Nunito
Creative Studio,Display + Sans,Syne,Manrope,creative bold geometric art,design agencies creative studios portfolios,https://fonts.google.com/share?selection.family=Syne:wght@400;600;700;800|Manrope
