pattern_name,section_order,cta_placement,color_strategy,effects,conversion_tips
Hero + Features + CTA,Hero → Problem → Features (3) → Social Proof → Pricing → CTA,Above fold primary + after pricing secondary,Brand primary gradient hero; white feature sections alternate,Scroll reveal features; metric counter animation; CTA pulse,Headline must state value in under 6 words; no carousel in hero
Before-After Transformation,Hero → Before (pain) → Solution → Transformation → Proof → CTA,After transformation section (emotional peak),Dark pain section → bright solution section contrast,Animated before/after slider; progress reveal; testimonial fade-in,Show concrete outcome numbers not vague claims
Product Launch Minimal,Big logo/wordmark → Single headline → One CTA → Waitlist form,Center of page single CTA only,Full-screen single color or gradient; minimal text,Subtle particle or gradient animation; form error shake,Remove all navigation links — zero distraction to conversion
Dashboard Preview,Hero + screenshot → Key metrics → Features → Integration logos → CTA,Floating sticky CTA in viewport right,Dark demo screenshot contrast on light bg,Interactive dashboard mockup hover; live counter animations,Show real product UI not marketing illustrations
Testimonial-First,Trust bar (logos) → Hero → Social proof wall → Features → CTA,After proof wall when trust is established,White/light neutral; trust signals with authority colors,Review card hover lift; star rating pulse; avatar reveal,Lead with customer logos before product explanation
Story / Narrative,Hook headline → Chapter 1 (problem) → Chapter 2 (journey) → Chapter 3 (solution) → Climax CTA,End of each chapter mini CTA + final climax CTA,Each chapter different tone color; climax uses high-energy CTA color,Progress indicator; section scroll snap; parallax dividers,Use first-person narrative voice — personal not corporate
Comparison Landing,Competitor vs Product table → Why we win → Proof → CTA,After comparison table (decision moment),Competitor shown in gray/muted; product in brand primary,Animated feature checkmarks reveal; competitor strikethrough,Be specific — vague claims lose to exact numbers every time
Pricing-First,Pricing upfront → Features justify → FAQ → Social proof → CTA,Pricing page itself IS the CTA,Neutral light bg; highlight recommended plan with brand primary,Plan toggle animation; feature unlock reveal; popular badge pulse,Annual/monthly toggle increases revenue 15-40% — always include
Local Business,Hero (location photo) → Services → About → Reviews → Contact/Map,Phone number + form + map all above fold,Warm local colors; real photos over stock,Google Maps embed; review widget; business hours live,Phone number must be visible on mobile without scrolling
Webinar / Event,Countdown timer → Speaker credentials → Agenda → Registration,Timer + registration above fold always,Urgency colors — deep blue or dark bg; CTA in high-energy color,Live countdown timer; seat counter; speaker photo reveal,Show EXACTLY what they will learn — vague agendas kill signups
B2B Enterprise,Trust logos → ROI metrics → Case study → Security/Compliance → Demo CTA,Demo request form in hero + after case study,Conservative dark blue or navy; no flashy colors,Subtle professional transitions only; animated ROI counter,Add security certifications (SOC2 ISO27001) — removes enterprise blocker
