name,description,implementation,use_cases,do_examples,dont_examples
Glassmorphism,Frosted glass effect with blur and transparency,backdrop-filter: blur(12px); background: rgba(255,255,255,0.1); border: 1px solid rgba(255,255,255,0.2); border-radius: 16px,SaaS dashboards dark mode crypto fintech hero sections,Use on dark or gradient backgrounds for maximum effect,Never on white background — effect disappears completely
Bento Grid,Asymmetric modular card grid inspired by Apple,grid-template-columns: repeat(12, 1fr); varied grid-column/row spans; rounded-xl; subtle shadows,Dashboards feature showcases product pages Apple-style marketing,Vary card sizes (2x2 4x2 3x1) for visual rhythm,Never equal-size boring grid of identical cards
Neumorphism,Soft embossed raised/pressed effect from background,box-shadow: 8px 8px 16px #d1d9e6 -8px -8px 16px #ffffff; same-color bg,Settings panels toggles subtle form controls,Only on light neutral backgrounds (#E0E5EC),Never on dark backgrounds — looks broken and muddy
Dark Mode Enterprise,High-contrast dark UI for data-heavy applications,background: #0F172A or #1A1A2E; cards: #1E293B; borders: #334155; text: #F1F5F9,Trading dashboards analytics developer tools cybersecurity,Use green/red only for data meaning not decoration,Never use pure #000000 — causes OLED smearing artifacts
Minimal Corporate,Clean white space-driven professional layout,White bg; max-w-6xl mx-auto; generous padding; subtle borders; no decorative elements,Banking law enterprise B2B government,Let content breathe with 48px+ section spacing,Never fill every pixel — whitespace IS the design
Brutalism,Raw bold high-contrast typographic statement,Bold fonts black borders no border-radius flat color blocks high contrast,Creative agencies portfolios fashion editorial disruptors,Black 2-4px borders; flat solid colors; bold statement type,Never in fintech healthcare government — kills trust
Gradient Hero,Vibrant gradient backgrounds for marketing impact,background: linear-gradient(135deg #667EEA 0% #764BA2 100%); overlay on text,SaaS landing pages app launches startup marketing,Test gradient direction — diagonal often most dynamic,Never use 5+ color gradients — looks dated and amateur
Scroll Storytelling,Content reveals as user scrolls creating narrative,Intersection Observer API; opacity 0→1 + translateY 20px→0 on scroll; staggered children,Landing pages product marketing narrative campaigns,Stagger child elements 100-150ms apart for natural flow,Never animate things that aren't visible at scroll entry
Card Hover System,Consistent card interaction across all surfaces,transition: all 200ms ease; hover: translateY(-4px) shadow-xl; cursor-pointer,Any clickable card dashboard item product listing,Keep lift to 2-4px max for subtlety,Never skip hover states on interactive cards — feels broken
Data Visualization Dark,Charts and data tables on dark backgrounds,bg-slate-900; axis color #475569; grid lines #1E293B; data series vivid contrast,Trading analytics monitoring BI dashboards,Use pure vivid colors for data lines on dark,Never use pastel colors for data — invisible on dark bg
